263,76645,87965
9525,68593,83651
51029,55917,70462
12989,68401,82407
4994,56830,69459
265305,94208,121040
5954,51470,64333
48981,85253,104269
211170,50884,68428
6809,51705,74032
30562,52974,68455
37969,45540,60746
4462,70185,78488
191608,52618,69382
31566,50489,66499
16540,48323,60776
6442,65616,75295
2170631,62237,89466
32854,50772,64930
64282,117357,166853
4805,62278,70395
20585,54459,67910
58319,47456,63763
2397,46268,60708
3168,72237,78221
90557,63669,85628
33934,79700,104811
26204,70148,86803
712753,84765,111407
94036,87352,105204
5381,55183,74594
504705,63378,80100
337868,64154,80998
13458,71425,86693
459664,59294,74427
714977,73495,95914
156742,90116,130322
160476,59900,76699
64756,74885,90912
174540,105844,146954
92720,72602,101039
435873,103983,133959
58406,80899,103519
45221,54222,70127
769,52454,74657
12192,47183,58836
100840,76932,92122
117130,75896,97045
124157,55432,71330
23276,57129,76238
16089,49018,61542
3390,47349,59905
103015,45500,62103
14834,59152,74013
196812,86301,108899
43818,74687,94292
17731,50648,60669
108342,64611,75968
3676,49889,63892
148229,73649,97469
3397,58222,79223
1101,48080,59213
1213,42598,55615
70777,92667,117904
14691,96787,113578
5124,59631,71558
549,63938,70818
2364,89583,122997
2220,44338,51763
821,41551,58949
780,41270,50430
1278,50000,63557
8432,51539,67911
128046,63705,92983
499,51875,59766
81035,112930,135267
11315,86167,119125
6369,89653,108518
160830,70728,87294
10994,48623,60689
14164,66941,79407
1429,87639,103909
3311,74418,85953
3407,67047,80629
254,76000,79688
1835,41862,62214
390,60714,63195
143318,84957,103676
386,55938,68343
2038,57538,63459
1714,57267,65190
13083,67732,85423
76873,76194,92738
3931,53089,62711
1162,51875,68253
5142,50000,65790
39244,60534,77248
236,68438,108631
3323,68822,72710
7221,49245,63035
11391,55848,65074
7531,50202,61738
4833,41943,54340
1313,72229,87093
4732,76104,84222
1162,54583,62110
3933,93981,153028
3279,44481,57481
40011,52705,64083
1757,75978,86538
3147,45347,59373
6117,74559,96659
1594,41154,56234
147,53194,59840
1702,77708,117982
612,53500,61491
6300,79420,97549
6628,73379,86298
1408,55606,69540
64965,66840,79757
2331,53502,68052
230308,104250,159792
227127,81805,104293
51016,87945,109161
43850,98501,116123
213700,79408,98570
70367,82076,99136
37387,95996,110324
29822,74484,83449
40853,64414,74813
134103,79954,100149
51828,61308,75219
112278,79665,126759
51365,62139,83474
6298,58850,68997
43685,57295,69592
6165,49562,60013
142130,59810,75909
418780,61526,83467
3169,39384,50813
46164,53586,67358
38553,48013,60663
50998,68078,81079
82474,65980,106892
15313,45003,59237
7408,38565,47802
3848,42959,50822
207670,59238,77485
69084,55382,69819
25206,53823,70404
2923,48661,62606
10853,50314,54862
4430,46202,55763
2547,37317,47493
3717,44574,57090
3062,46295,59595
5700,40872,55273
7844,40657,56037
47915,48461,58293
25565,42866,54876
300804,59894,81698
4721,45713,52475
37230,56151,84774
10652,48028,57916
3638,51029,65210
1737,52627,70617
81205,54237,68207
159917,56847,78489
61657,68516,85720
10482,41278,51030
1494,52230,61043
4710,40486,50592
84432,58263,77074
89901,46538,60435
37275,68003,98939
567717,49138,73252
16587,63550,94730
20621,63888,82459
49332,64668,80370
8998,43119,55780
267140,56830,77581
67632,47839,59077
324859,64260,95409
121121,53807,67951
223360,59491,79505
151736,50944,63865
18305,40802,53067
52435,80707,111432
72781,50334,65583
42102,66006,78731
103411,61339,85307
99156,68680,89705
30455,58068,69335
10902,43716,51940
5253,42684,53129
2825,48365,54695
122373,53086,67410
7609,59910,67172
