"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Worcester County, Massachusetts","201213","81519","97466"
"Alcona County, Michigan","3188","45424","57658"
"Alger County, Michigan","2246","46083","58297"
"Allegan County, Michigan","30856","59509","70606"
"Alpena County, Michigan","8201","48308","58388"
"Antrim County, Michigan","6805","53125","65125"
"Arenac County, Michigan","4411","45479","56518"
"Baraga County, Michigan","2062","51705","56844"
"Barry County, Michigan","16159","63064","74623"
"Bay County, Michigan","28710","55652","67171"
"Benzie County, Michigan","5180","54971","66686"
"Berrien County, Michigan","39861","56324","71610"
"Branch County, Michigan","11054","50701","61066"
"Calhoun County, Michigan","34681","52857","67046"
"Cass County, Michigan","13830","55053","67115"
"Charlevoix County, Michigan","7394","56236","75438"
"Cheboygan County, Michigan","7623","46010","58305"
"Chippewa County, Michigan","9110","54513","64053"
"Clare County, Michigan","8468","40297","49226"
"Clinton County, Michigan","20039","72958","86604"
"Crawford County, Michigan","3880","50114","55109"
"Delta County, Michigan","10393","53489","62370"
"Dickinson County, Michigan","7672","53342","68091"
"Eaton County, Michigan","28707","65740","75341"
"Emmet County, Michigan","9190","61644","85032"
"Genesee County, Michigan","107022","53072","65234"
"Gladwin County, Michigan","7522","45605","54919"
"Gogebic County, Michigan","4134","46570","54194"
"Grand Traverse County, Michigan","22743","63616","79964"
"Gratiot County, Michigan","10158","50893","59841"
"Hillsdale County, Michigan","12378","49976","60167"
"Houghton County, Michigan","8147","52409","64771"
"Huron County, Michigan","9084","50996","60896"
"Ingham County, Michigan","61908","62971","79474"
"Ionia County, Michigan","15764","54829","63565"
"Iosco County, Michigan","7026","45265","55935"
"Iron County, Michigan","3143","46502","57620"
"Isabella County, Michigan","13689","51563","66431"
"Jackson County, Michigan","40593","57263","68449"
"Kalamazoo County, Michigan","60345","62159","80236"
"Kalkaska County, Michigan","4461","48153","57437"
"Kent County, Michigan","154002","63176","79883"
"Keweenaw County, Michigan","610","50250","61242"
"Lake County, Michigan","2494","37664","46159"
"Lapeer County, Michigan","24617","60597","71727"
"Leelanau County, Michigan","6354","66570","86823"
"Lenawee County, Michigan","25552","59156","67539"
"Livingston County, Michigan","51009","82959","96401"
"Luce County, Michigan","1552","45950","55764"
"Mackinac County, Michigan","3180","47542","57864"
"Macomb County, Michigan","222460","66612","78382"
"Manistee County, Michigan","6857","49708","61469"
"Marquette County, Michigan","15917","61103","73596"
"Mason County, Michigan","8328","50719","62393"
"Mecosta County, Michigan","10126","50330","62309"
"Menominee County, Michigan","6981","49566","57987"
"Midland County, Michigan","22837","65735","87623"
"Missaukee County, Michigan","4111","47446","56537"
"Monroe County, Michigan","41178","65363","76203"
"Montcalm County, Michigan","16596","47435","55508"
"Montmorency County, Michigan","2713","42632","51310"
"Muskegon County, Michigan","44699","50092","61102"
"Newaygo County, Michigan","12861","50181","60859"
"Oakland County, Michigan","320311","84182","108158"
"Oceana County, Michigan","6838","47419","56754"
"Ogemaw County, Michigan","5852","42137","53175"
"Ontonagon County, Michigan","1927","44986","52125"
"Osceola County, Michigan","6324","45839","52982"
"Oscoda County, Michigan","2457","40517","48405"
"Otsego County, Michigan","6629","56823","69704"
"Ottawa County, Michigan","69937","67166","81195"
"Presque Isle County, Michigan","4005","46601","56377"
"Roscommon County, Michigan","7164","40691","57174"
"Saginaw County, Michigan","49816","54004","66676"
"St. Clair County, Michigan","43959","58697","70280"
"St. Joseph County, Michigan","15645","52116","61271"
"Sanilac County, Michigan","10746","50648","61062"
"Schoolcraft County, Michigan","2258","47557","59565"
"Shiawassee County, Michigan","19544","53971","64794"
"Tuscola County, Michigan","14959","51319","59905"
"Van Buren County, Michigan","19770","54472","64249"
"Washtenaw County, Michigan","78436","85115","104404"
"Wayne County, Michigan","422905","52423","68813"
"Wexford County, Michigan","8590","48790","59569"
"Aitkin County, Minnesota","4963","50684","62794"
"Anoka County, Minnesota","87961","81798","92673"
"Becker County, Minnesota","9287","59844","71883"
"Beltrami County, Minnesota","11033","53549","65417"
"Benton County, Minnesota","9990","64694","71706"
"Big Stone County, Minnesota","1580","56012","68744"
"Blue Earth County, Minnesota","14184","68864","80365"
"Brown County, Minnesota","6770","65804","75030"
"Carlton County, Minnesota","9210","63548","72477"
"Carver County, Minnesota","25455","96913","118806"
"Cass County, Minnesota","8923","53277","65742"
"Chippewa County, Minnesota","3263","64608","75096"
"Chisago County, Minnesota","14248","75513","85573"
"Clay County, Minnesota","14801","68533","76735"
"Clearwater County, Minnesota","2492","52661","61317"
"Cook County, Minnesota","1716","59643","78617"
"Cottonwood County, Minnesota","3224","55081","66322"
"Crow Wing County, Minnesota","18056","57958","72170"
"Dakota County, Minnesota","107517","88889","105003"
"Dodge County, Minnesota","5404","81702","90365"
"Douglas County, Minnesota","10448","65133","78639"
"Faribault County, Minnesota","4167","56849","66554"
"Fillmore County, Minnesota","5746","64379","73838"
"Freeborn County, Minnesota","8385","58220","71899"
"Goodhue County, Minnesota","12610","73075","84133"
"Grant County, Minnesota","1728","61455","72502"
"Hennepin County, Minnesota","279427","84559","112017"
"Houston County, Minnesota","5424","65646","74288"
"Hubbard County, Minnesota","5938","55744","67723"
"Isanti County, Minnesota","9954","68053","77350"
"Itasca County, Minnesota","12989","56705","66161"
"Jackson County, Minnesota","3032","64625","76294"
"Kanabec County, Minnesota","4258","54060","62086"
"Kandiyohi County, Minnesota","11596","62904","77538"
"Kittson County, Minnesota","1206","64310","73032"
"Koochiching County, Minnesota","3673","56065","73344"
"Lac qui Parle County, Minnesota","2105","60873","75339"
"Lake County, Minnesota","3303","61548","72104"
"Lake of the Woods County, Minnesota","1090","49816","58904"
"Le Sueur County, Minnesota","7786","70426","81062"
"Lincoln County, Minnesota","1615","63201","75145"
"Lyon County, Minnesota","6292","70016","81697"
"McLeod County, Minnesota","10098","67968","76373"
"Mahnomen County, Minnesota","1405","47781","57366"
"Marshall County, Minnesota","2663","65057","73619"
"Martin County, Minnesota","5712","61233","75004"
"Meeker County, Minnesota","6528","63881","73058"
"Mille Lacs County, Minnesota","6913","57885","64931"
"Morrison County, Minnesota","9032","60155","69578"
"Mower County, Minnesota","10076","61094","73795"
"Murray County, Minnesota","2496","63545","73752"
"Nicollet County, Minnesota","8259","71741","80378"
"Nobles County, Minnesota","5658","55102","67758"
"Norman County, Minnesota","1735","59103","68227"
"Olmsted County, Minnesota","37863","83250","102937"
"Otter Tail County, Minnesota","16549","61645","73574"
"Pennington County, Minnesota","3529","61448","69490"
"Pine County, Minnesota","7745","53869","62229"
"Pipestone County, Minnesota","2618","56071","67850"
"Polk County, Minnesota","8343","64911","77619"
"Pope County, Minnesota","3176","64740","80094"
"Ramsey County, Minnesota","119801","71206","88923"
"Red Lake County, Minnesota","1118","59600","64003"
"Redwood County, Minnesota","4183","60685","74539"
"Renville County, Minnesota","4282","58599","70744"
"Rice County, Minnesota","15595","72133","81895"
"Rock County, Minnesota","2724","58835","69067"
"Roseau County, Minnesota","4448","59226","71575"
"St. Louis County, Minnesota","50162","63168","75110"
"Scott County, Minnesota","34831","97693","112940"
"Sherburne County, Minnesota","22864","80939","88598"
"Sibley County, Minnesota","4021","64750","74465"
"Stearns County, Minnesota","37197","69196","81253"
"Steele County, Minnesota","9837","71627","81935"
"Stevens County, Minnesota","2226","71563","98925"
"Swift County, Minnesota","2719","64250","70900"
"Todd County, Minnesota","6837","53847","64502"
"Traverse County, Minnesota","946","62258","79175"
"Wabasha County, Minnesota","6150","66629","79281"
"Wadena County, Minnesota","3756","50354","57694"
"Waseca County, Minnesota","5027","66173","77563"
"Washington County, Minnesota","65270","94263","111667"
"Watonwan County, Minnesota","3025","61064","73726"
"Wilkin County, Minnesota","1757","62835","72400"
"Winona County, Minnesota","11389","67948","77339"
"Wright County, Minnesota","34144","81683","91194"
"Yellow Medicine County, Minnesota","2856","61389","71270"
"Adams County, Mississippi","7127","36044","54552"
"Alcorn County, Mississippi","9992","43320","56101"
"Amite County, Mississippi","3246","36277","48150"
"Attala County, Mississippi","4806","41356","55517"
"Benton County, Mississippi","2123","42436","54403"
"Bolivar County, Mississippi","7881","36443","51716"
"Calhoun County, Mississippi","3889","39502","48526"
"Carroll County, Mississippi","2781","41038","54215"
"Chickasaw County, Mississippi","4520","36783","48585"
"Choctaw County, Mississippi","2267","41164","51116"
"Claiborne County, Mississippi","1978","31385","42065"
"Clarke County, Mississippi","4600","41518","52658"
"Clay County, Mississippi","5699","39169","55021"
"Coahoma County, Mississippi","6470","31078","46986"
"Copiah County, Mississippi","6698","45769","59720"
"Covington County, Mississippi","4813","42657","53046"
"DeSoto County, Mississippi","44020","64822","76072"
"Forrest County, Mississippi","17200","46827","60400"
"Franklin County, Mississippi","2413","39234","74784"
"George County, Mississippi","5885","53793","62291"
"Greene County, Mississippi","3055","47109","53217"
"Grenada County, Mississippi","5164","48301","63598"
"Hancock County, Mississippi","12795","53192","63617"
"Harrison County, Mississippi","47656","51941","66250"
"Hinds County, Mississippi","57415","47132","63588"
"Holmes County, Mississippi","4317","25995","36838"
"Humphreys County, Mississippi","2016","28816","40438"
"Issaquena County, Mississippi","295","26488","39418"
"Itawamba County, Mississippi","6426","45142","54845"
"Jackson County, Mississippi","35024","58357","73187"
"Jasper County, Mississippi","4903","37218","51011"
"Jefferson County, Mississippi","1671","32793","43652"
"Jefferson Davis County, Mississippi","3171","34986","46028"
"Jones County, Mississippi","17973","43888","59405"
"Kemper County, Mississippi","2283","40962","48629"
"Lafayette County, Mississippi","9313","59882","81064"
"Lamar County, Mississippi","15165","62945","80212"
"Lauderdale County, Mississippi","20146","46954","64682"
"Lawrence County, Mississippi","3483","49975","62195"
"Leake County, Mississippi","5828","38766","55570"
"Lee County, Mississippi","22676","54292","64248"
"Leflore County, Mississippi","7043","30285","44635"
"Lincoln County, Mississippi","9817","41572","56457"
"Lowndes County, Mississippi","15132","48662","62519"
"Madison County, Mississippi","25414","73775","102297"
"Marion County, Mississippi","7050","38941","55059"
"Marshall County, Mississippi","9232","41319","54659"
"Monroe County, Mississippi","10209","45361","52148"
"Montgomery County, Mississippi","2896","37395","44836"
"Neshoba County, Mississippi","7619","41449","55087"
"Newton County, Mississippi","6091","44720","56781"
"Noxubee County, Mississippi","3034","34375","40022"
"Oktibbeha County, Mississippi","9746","55210","70586"
"Panola County, Mississippi","7930","41849","56780"
"Pearl River County, Mississippi","14958","50330","61054"
"Perry County, Mississippi","3331","40267","50074"
"Pike County, Mississippi","9712","41288","55635"
"Pontotoc County, Mississippi","7137","50403","58811"
"Prentiss County, Mississippi","6872","42093","49660"
"Quitman County, Mississippi","2086","28171","40233"
"Rankin County, Mississippi","38696","67674","81045"
"Scott County, Mississippi","7000","39404","52611"
"Sharkey County, Mississippi","1178","51250","50843"
"Simpson County, Mississippi","7006","44651","56641"
"Smith County, Mississippi","4663","44849","60614"
"Stone County, Mississippi","4294","50491","61144"
"Sunflower County, Mississippi","5915","31893","46488"
"Tallahatchie County, Mississippi","3253","37539","43322"
"Tate County, Mississippi","7013","51887","66277"
"Tippah County, Mississippi","6280","41358","53403"
"Tishomingo County, Mississippi","5779","40949","52355"
"Tunica County, Mississippi","2341","34946","46103"
"Union County, Mississippi","7745","44772","55971"
"Walthall County, Mississippi","3581","43597","56553"
"Warren County, Mississippi","12237","54240","67386"
"Washington County, Mississippi","12412","33025","49850"
"Wayne County, Mississippi","5561","38502","59119"
"Webster County, Mississippi","3050","45647","54752"
"Wilkinson County, Mississippi","2351","39966","47611"
"Winston County, Mississippi","5229","40589","53658"
"Yalobusha County, Mississippi","3270","46360","56252"
"Yazoo County, Mississippi","5937","33157","45878"
"Adair County, Missouri","5501","54609","66579"
"Andrew County, Missouri","4687","67006","75761"
"Atchison County, Missouri","1524","54247","64544"
"Audrain County, Missouri","6430","53564","60370"
"Barry County, Missouri","9496","47663","56802"
"Barton County, Missouri","3650","49713","59923"
"Bates County, Missouri","4529","50469","60835"
"Benton County, Missouri","5756","42896","52915"
"Bollinger County, Missouri","3337","45273","58033"
"Boone County, Missouri","37372","70096","89209"
"Buchanan County, Missouri","21256","57326","67663"
"Butler County, Missouri","11271","43135","56737"
"Caldwell County, Missouri","2667","53186","61152"
"Callaway County, Missouri","11233","58357","69916"
"Camden County, Missouri","12558","49942","60453"
"Cape Girardeau County, Missouri","19274","57604","70467"
"Carroll County, Missouri","2474","61400","71513"
"Carter County, Missouri","1521","40597","51777"
"Cass County, Missouri","27627","68480","81148"
"Cedar County, Missouri","3816","38058","47187"
"Chariton County, Missouri","1961","51356","58817"
"Christian County, Missouri","22601","60493","74206"
"Clark County, Missouri","1784","50288","58268"
"Clay County, Missouri","59138","73380","86120"
"Clinton County, Missouri","5806","64341","72114"
"Cole County, Missouri","19243","66712","78170"
"Cooper County, Missouri","4635","56565","67142"
"Crawford County, Missouri","6421","44985","51769"
"Dade County, Missouri","2177","44175","57394"
"Dallas County, Missouri","4804","44382","53509"
"Daviess County, Missouri","2258","51500","59703"
"DeKalb County, Missouri","2531","57163","61924"
"Dent County, Missouri","4217","42356","53413"
"Douglas County, Missouri","3648","38312","46597"
"Dunklin County, Missouri","8369","38503","50698"
"Franklin County, Missouri","27726","60741","73903"
"Gasconade County, Missouri","4103","52579","62752"
"Gentry County, Missouri","1871","47750","58897"
"Greene County, Missouri","69461","53359","67984"
"Grundy County, Missouri","2692","47000","56645"
"Harrison County, Missouri","2319","44691","54314"
"Henry County, Missouri","6154","50344","59811"
"Hickory County, Missouri","2826","36457","44446"
"Holt County, Missouri","1473","53578","62242"
"Howard County, Missouri","2478","54167","62209"
"Howell County, Missouri","10883","41181","50072"
"Iron County, Missouri","2817","44069","53220"
"Jackson County, Missouri","164397","60580","75835"
"Jasper County, Missouri","29632","49154","63556"
"Jefferson County, Missouri","59036","64116","74319"
"Johnson County, Missouri","13189","58641","67510"
"Knox County, Missouri","1121","44073","61536"
"Laclede County, Missouri","10042","43826","53324"
"Lafayette County, Missouri","9248","65057","68577"
"Lawrence County, Missouri","10280","47950","57646"
"Lewis County, Missouri","2692","49043","58172"
"Lincoln County, Missouri","13476","59074","67629"
"Linn County, Missouri","3173","47327","64265"
"Livingston County, Missouri","3684","54663","64116"
"McDonald County, Missouri","5687","45172","54240"
"Macon County, Missouri","4045","50393","59359"
"Madison County, Missouri","3264","39718","50298"
"Maries County, Missouri","2601","55331","61871"
"Marion County, Missouri","7669","52844","65320"
"Mercer County, Missouri","1077","49087","56304"
"Miller County, Missouri","6732","44911","53911"
"Mississippi County, Missouri","3338","38789","49664"
"Moniteau County, Missouri","3822","59253","64171"
"Monroe County, Missouri","2294","53116","58242"
"Montgomery County, Missouri","3524","48314","58831"
"Morgan County, Missouri","5514","45048","51247"
"New Madrid County, Missouri","5066","45469","56707"
"Newton County, Missouri","15801","50565","65789"
"Nodaway County, Missouri","4605","56449","63501"
"Oregon County, Missouri","2910","36791","46938"
"Osage County, Missouri","3800","61660","67199"
"Ozark County, Missouri","2983","37938","45495"
"Pemiscot County, Missouri","4362","38152","50757"
"Perry County, Missouri","5305","58656","69168"
"Pettis County, Missouri","10755","49064","59993"
"Phelps County, Missouri","10685","54015","67874"
"Pike County, Missouri","4524","52000","60361"
"Platte County, Missouri","24719","83110","100811"
"Polk County, Missouri","8347","49245","59263"
"Pulaski County, Missouri","10241","56933","63625"
"Putnam County, Missouri","1425","44309","51317"
"Ralls County, Missouri","2988","54936","63700"
"Randolph County, Missouri","5977","47844","55997"
"Ray County, Missouri","6306","63014","71594"
"Reynolds County, Missouri","1785","39632","50574"
"Ripley County, Missouri","3892","37009","44735"
"St. Charles County, Missouri","98782","83907","95788"
"St. Clair County, Missouri","2736","42242","48335"
"Ste. Genevieve County, Missouri","4998","55208","67579"
"St. Francois County, Missouri","16013","46537","58070"
"St. Louis County, Missouri","263717","75532","102775"
"Saline County, Missouri","5764","46731","54633"
"Schuyler County, Missouri","1190","45269","54016"
"Scotland County, Missouri","1244","49328","61593"
"Scott County, Missouri","10796","48705","61676"
"Shannon County, Missouri","2281","41440","50158"
"Shelby County, Missouri","1639","48274","55228"
"Stoddard County, Missouri","8210","49565","67519"
"Stone County, Missouri","9596","49527","57819"
"Sullivan County, Missouri","1751","44783","53899"
"Taney County, Missouri","13618","46764","57501"
"Texas County, Missouri","6535","45212","55930"
"Vernon County, Missouri","5238","48014","57220"
"Warren County, Missouri","9085","64196","74250"
"Washington County, Missouri","6515","41108","54393"
"Wayne County, Missouri","3831","39465","53705"
"Webster County, Missouri","9512","50033","61818"
"Worth County, Missouri","613","49034","61115"
"Wright County, Missouri","5071","37295","42308"
"St. Louis city, Missouri","65731","43627","61545"
"Beaverhead County, Montana","2388","54294","64228"
"Big Horn County, Montana","2658","46968","59503"
"Blaine County, Montana","1485","41797","55500"
"Broadwater County, Montana","1701","49362","63375"
"Carbon County, Montana","2794","60375","73137"
"Carter County, Montana","340","60000","69523"
"Cascade County, Montana","21343","58565","70430"
"Chouteau County, Montana","1586","50111","61423"
"Custer County, Montana","3077","58594","68282"
"Daniels County, Montana","514","60000","71169"
"Dawson County, Montana","2671","63551","72008"
"Deer Lodge County, Montana","2298","49714","61276"
"Fallon County, Montana","832","66544","83347"
"Fergus County, Montana","2940","52473","65242"
"Flathead County, Montana","24480","56284","72627"
"Gallatin County, Montana","22162","69556","87932"
"Garfield County, Montana","320","59423","71088"
"Glacier County, Montana","2885","36701","51191"
"Golden Valley County, Montana","205","50938","56694"
"Granite County, Montana","990","57891","64395"
"Hill County, Montana","4068","55617","64432"
"Jefferson County, Montana","3221","76469","88874"
"Judith Basin County, Montana","535","55089","64186"
"Lake County, Montana","7759","50222","60229"
"Lewis and Clark County, Montana","16543","70259","79227"
"Liberty County, Montana","562","58438","89816"
"Lincoln County, Montana","5402","44111","57304"
"McCone County, Montana","518","59375","72400"
"Madison County, Montana","2201","61672","81738"
"Meagher County, Montana","451","47604","55919"
"Mineral County, Montana","969","45331","58696"
"Missoula County, Montana","26223","62988","77247"
"Musselshell County, Montana","1363","59112","61591"
"Park County, Montana","3872","56960","66251"
"Petroleum County, Montana","155","56042","63366"
"Phillips County, Montana","1206","54746","63788"
"Pondera County, Montana","1566","52698","68150"
"Powder River County, Montana","485","56250","75882"
"Powell County, Montana","1530","49342","57025"
"Prairie County, Montana","328","41667","50448"
"Ravalli County, Montana","10971","51272","65365"
"Richland County, Montana","2746","72115","93146"
"Roosevelt County, Montana","2102","49649","58474"
"Rosebud County, Montana","2255","60188","68492"
"Sanders County, Montana","3357","39650","50230"
"Sheridan County, Montana","1034","68769","86126"
"Silver Bow County, Montana","8451","53713","66266"
"Stillwater County, Montana","2801","69375","79413"
"Sweet Grass County, Montana","938","58462","69460"
"Teton County, Montana","1540","54196","68035"
"Toole County, Montana","1309","53259","67008"
"Treasure County, Montana","222","47206","60123"
"Valley County, Montana","2023","58668","71602"
"Wheatland County, Montana","525","43594","55365"
"Wibaux County, Montana","273","67361","73707"
"Yellowstone County, Montana","38738","65486","81033"
"Adams County, Nebraska","8030","65286","76243"
"Antelope County, Nebraska","2058","54688","68797"
"Arthur County, Nebraska","114","48750","56614"
"Banner County, Nebraska","241","51750","77327"
"Blaine County, Nebraska","179","45625","49435"
"Boone County, Nebraska","1478","59278","75748"
"Box Butte County, Nebraska","3059","58521","69345"
"Boyd County, Nebraska","568","51250","57307"
"Brown County, Nebraska","1038","44605","51471"
"Buffalo County, Nebraska","11368","67076","78850"
"Burt County, Nebraska","2000","62449","72520"
"Butler County, Nebraska","2355","65225","80423"
"Cass County, Nebraska","7026","75769","87696"
"Cedar County, Nebraska","2375","58542","77474"
"Chase County, Nebraska","1166","51810","77712"
"Cherry County, Nebraska","1792","54185","68875"
"Cheyenne County, Nebraska","2763","64504","78135"
"Clay County, Nebraska","1848","54762","66788"
"Colfax County, Nebraska","2647","61841","76505"
"Cuming County, Nebraska","2630","58654","69263"
"Custer County, Nebraska","3144","56136","67909"
"Dakota County, Nebraska","5338","54721","63459"
"Dawes County, Nebraska","2153","62952","70141"
"Dawson County, Nebraska","6220","53214","59398"
"Deuel County, Nebraska","498","58500","75450"
"Dixon County, Nebraska","1676","57946","69070"
"Dodge County, Nebraska","10193","57827","70360"
"Douglas County, Nebraska","126349","69754","89876"
"Dundy County, Nebraska","635","51932","81998"
"Fillmore County, Nebraska","1564","60897","68559"
"Franklin County, Nebraska","964","56875","72865"
"Frontier County, Nebraska","736","58636","68600"
"Furnas County, Nebraska","1416","51458","59894"
"Gage County, Nebraska","5867","61483","71601"
"Garden County, Nebraska","585","52083","70915"
"Garfield County, Nebraska","546","49904","55359"
"Gosper County, Nebraska","576","58583","67812"
"Grant County, Nebraska","175","45865","49208"
"Greeley County, Nebraska","688","55909","68150"
"Hall County, Nebraska","14618","56897","67987"
"Hamilton County, Nebraska","2564","61786","75496"
"Harlan County, Nebraska","1004","55400","64868"
"Hayes County, Nebraska","353","56125","66424"
"Hitchcock County, Nebraska","839","56875","62367"
"Holt County, Nebraska","2926","58608","66685"
"Hooker County, Nebraska","199","42366","55170"
"Howard County, Nebraska","1753","65039","72546"
"Jefferson County, Nebraska","2079","57234","68453"
"Johnson County, Nebraska","1173","53932","66456"
"Kearney County, Nebraska","1904","62308","79895"
"Keith County, Nebraska","2445","58047","67485"
"Keya Paha County, Nebraska","236","44231","53738"
"Kimball County, Nebraska","1042","52276","59864"
"Knox County, Nebraska","2540","54286","66171"
"Lancaster County, Nebraska","70561","68714","83726"
"Lincoln County, Nebraska","9503","62464","75760"
"Logan County, Nebraska","230","52813","63572"
"Loup County, Nebraska","172","42917","52383"
"McPherson County, Nebraska","133","57981","62911"
"Madison County, Nebraska","9090","58592","72913"
"Merrick County, Nebraska","2301","56185","68338"
"Morrill County, Nebraska","1427","50365","60745"
"Nance County, Nebraska","1027","54402","65998"
"Nemaha County, Nebraska","1778","68516","77088"
"Nuckolls County, Nebraska","1423","52127","57256"
"Otoe County, Nebraska","4370","63841","73932"
"Pawnee County, Nebraska","774","49191","69245"
"Perkins County, Nebraska","864","66000","75192"
"Phelps County, Nebraska","2520","65884","74454"
"Pierce County, Nebraska","2060","62143","70867"
"Platte County, Nebraska","8261","60814","71351"
"Polk County, Nebraska","1540","63664","78585"
"Red Willow County, Nebraska","2916","58831","67196"
"Richardson County, Nebraska","2178","49080","62716"
"Rock County, Nebraska","391","55625","66500"
"Saline County, Nebraska","3367","53101","63512"
"Sarpy County, Nebraska","44077","80985","91728"
"Saunders County, Nebraska","5637","74235","90160"
"Scotts Bluff County, Nebraska","9573","53463","67186"
"Seward County, Nebraska","4344","74309","90150"
"Sheridan County, Nebraska","1515","44859","60025"
"Sherman County, Nebraska","925","51469","65007"
"Sioux County, Nebraska","363","56813","74764"
"Stanton County, Nebraska","1817","60886","67992"
"Thayer County, Nebraska","1498","53493","65507"
"Thomas County, Nebraska","234","63333","75374"
"Thurston County, Nebraska","1469","49612","62225"
"Valley County, Nebraska","1274","54364","61349"
"Washington County, Nebraska","5423","83670","90799"
"Wayne County, Nebraska","2166","69696","82890"
"Webster County, Nebraska","1001","49968","62398"
"Wheeler County, Nebraska","217","53015","76582"
"York County, Nebraska","3638","63940","80826"
"Churchill County, Nevada","6266","60951","70109"
"Clark County, Nevada","461236","60666","77632"
"Douglas County, Nevada","13309","67597","89328"
"Elko County, Nevada","12377","75231","86670"
"Esmeralda County, Nevada","248","51500","55860"
"Eureka County, Nevada","437","94648","86799"
"Humboldt County, Nevada","4218","74433","81247"
"Lander County, Nevada","1472","75857","80188"
"Lincoln County, Nevada","1382","48816","69508"
"Lyon County, Nevada","13167","52918","61997"
"Mineral County, Nevada","1116","61226","67810"
"Nye County, Nevada","12410","45798","57138"
"Pershing County, Nevada","1430","56250","66100"
"Storey County, Nevada","1161","64173","76426"
"Washoe County, Nevada","102123","64556","84652"
"White Pine County, Nevada","2003","63982","73682"
"Carson City, Nevada","13035","63883","76610"
"Belknap County, New Hampshire","16960","67570","84033"
"Carroll County, New Hampshire","14028","58867","82367"
"Cheshire County, New Hampshire","19162","70026","83603"
"Coos County, New Hampshire","8934","53813","65271"
"Grafton County, New Hampshire","21891","71158","90436"
"Hillsborough County, New Hampshire","103750","84430","100826"
"Merrimack County, New Hampshire","37842","80655","93486"
"Rockingham County, New Hampshire","81025","93420","112866"
"Strafford County, New Hampshire","30512","73260","89404"
"Sullivan County, New Hampshire","12046","65969","78156"
"Atlantic County, New Jersey","67697","66619","83669"
"Bergen County, New Jersey","239574","102222","135788"
"Burlington County, New Jersey","115577","94324","114076"
"Camden County, New Jersey","126823","77369","94795"
"Cape May County, New Jersey","27383","74112","91017"
"Cumberland County, New Jersey","35417","60388","73802"
"Essex County, New Jersey","182399","69448","105566"
"Gloucester County, New Jersey","75480","87913","101657"
"Hudson County, New Jersey","150173","62168","88229"
"Hunterdon County, New Jersey","34083","125828","155340"
"Mercer County, New Jersey","88353","94267","123451"
"Middlesex County, New Jersey","203110","93519","110901"
"Monmouth County, New Jersey","162846","105971","134866"
"Morris County, New Jersey","129417","117683","154055"
"Ocean County, New Jersey","148963","76822","92078"
"Passaic County, New Jersey","116967","67890","88602"
"Salem County, New Jersey","17095","74469","85827"
"Somerset County, New Jersey","83994","117393","152513"
"Sussex County, New Jersey","40633","100066","114806"
"Union County, New Jersey","131541","83164","114030"
"Warren County, New Jersey","29058","85091","99048"
"Bernalillo County, New Mexico","163349","60740","77231"
"Catron County, New Mexico","919","45821","54623"
"Chaves County, New Mexico","16220","48169","59680"
"Cibola County, New Mexico","5277","42024","50936"
"Colfax County, New Mexico","3315","47100","58428"
"Curry County, New Mexico","12403","50963","64040"
"De Baca County, New Mexico","453","46534","64132"
"Doña Ana County, New Mexico","51262","44518","60417"
"Eddy County, New Mexico","13603","60891","86003"
"Grant County, New Mexico","7640","45616","59690"
"Guadalupe County, New Mexico","825","36435","48442"
"Harding County, New Mexico","156","49167","93444"
"Hidalgo County, New Mexico","1276","37432","49979"
"Lea County, New Mexico","15560","60006","72409"
"Lincoln County, New Mexico","5270","49213","64764"
"Los Alamos County, New Mexico","5155","124979","136100"
"Luna County, New Mexico","5711","35762","49013"
"McKinley County, New Mexico","12220","36109","49324"
"Mora County, New Mexico","787","41794","46795"
"Otero County, New Mexico","16469","46828","59334"
"Quay County, New Mexico","2134","41304","51235"
"Rio Arriba County, New Mexico","9902","47363","59501"
"Roosevelt County, New Mexico","4772","42703","54106"
"Sandoval County, New Mexico","34114","65768","82456"
"San Juan County, New Mexico","30188","57715","69904"
"San Miguel County, New Mexico","6453","40284","51263"
"Santa Fe County, New Mexico","35768","64737","88415"
"Sierra County, New Mexico","2336","40786","48573"
"Socorro County, New Mexico","3268","44076","63223"
"Taos County, New Mexico","7771","44541","58347"
"Torrance County, New Mexico","3665","45409","59309"
"Union County, New Mexico","1057","48350","54459"
"Valencia County, New Mexico","19159","51686","60084"
"Albany County, New York","69328","81846","98629"
"Allegany County, New York","12376","52112","63304"
"Bronx County, New York","312858","38843","54386"
"Broome County, New York","48410","59345","73060"
"Cattaraugus County, New York","20443","52637","62765"
"Cayuga County, New York","20230","63082","73577"
"Chautauqua County, New York","34306","52854","64039"
"Chemung County, New York","22378","60715","74489"
"Chenango County, New York","13330","54395","63099"
"Clinton County, New York","20189","63665","75246"
"Columbia County, New York","16228","72649","92988"
"Cortland County, New York","10999","60134","72584"
"Delaware County, New York","12457","56427","65750"
"Dutchess County, New York","73240","88777","105936"
"Erie County, New York","231215","65897","81496"
"Essex County, New York","10002","60935","75237"
"Franklin County, New York","12381","54399","66113"
"Fulton County, New York","14784","54619","65698"
"Genesee County, New York","15952","62864","71958"
"Greene County, New York","11782","60571","76083"
"Hamilton County, New York","1204","60170","72561"
"Herkimer County, New York","17474","55976","66027"
