"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Stone County, Arkansas","3262","39665","51684"
"Union County, Arkansas","11691","46952","58855"
"Van Buren County, Arkansas","4822","42607","52175"
"Washington County, Arkansas","50143","54190","72838"
"White County, Arkansas","20938","51449","65323"
"Woodruff County, Arkansas","2001","36902","54241"
"Yell County, Arkansas","5344","41469","51161"
"Alameda County, California","354289","88618","113258"
"Alpine County, California","263","76645","87965"
"Amador County, California","9525","68593","83651"
"Butte County, California","51029","55917","70462"
"Calaveras County, California","12989","68401","82407"
"Colusa County, California","4994","56830","69459"
"Contra Costa County, California","265305","94208","121040"
"Del Norte County, California","5954","51470","64333"
"El Dorado County, California","48981","85253","104269"
"Fresno County, California","211170","50884","68428"
"Glenn County, California","6809","51705","74032"
"Humboldt County, California","30562","52974","68455"
"Imperial County, California","37969","45540","60746"
"Inyo County, California","4462","70185","78488"
"Kern County, California","191608","52618","69382"
"Kings County, California","31566","50489","66499"
"Lake County, California","16540","48323","60776"
"Lassen County, California","6442","65616","75295"
"Los Angeles County, California","2170631","62237","89466"
"Madera County, California","32854","50772","64930"
"Marin County, California","64282","117357","166853"
"Mariposa County, California","4805","62278","70395"
"Mendocino County, California","20585","54459","67910"
"Merced County, California","58319","47456","63763"
"Modoc County, California","2397","46268","60708"
"Mono County, California","3168","72237","78221"
"Monterey County, California","90557","63669","85628"
"Napa County, California","33934","79700","104811"
"Nevada County, California","26204","70148","86803"
"Orange County, California","712753","84765","111407"
"Placer County, California","94036","87352","105204"
"Plumas County, California","5381","55183","74594"
"Riverside County, California","504705","63378","80100"
"Sacramento County, California","337868","64154","80998"
"San Benito County, California","13458","71425","86693"
"San Bernardino County, California","459664","59294","74427"
"San Diego County, California","714977","73495","95914"
"San Francisco County, California","156742","90116","130322"
"San Joaquin County, California","160476","59900","76699"
"San Luis Obispo County, California","64756","74885","90912"
"San Mateo County, California","174540","105844","146954"
"Santa Barbara County, California","92720","72602","101039"
"Santa Clara County, California","435873","103983","133959"
"Santa Cruz County, California","58406","80899","103519"
"Shasta County, California","45221","54222","70127"
"Sierra County, California","769","52454","74657"
"Siskiyou County, California","12192","47183","58836"
"Solano County, California","100840","76932","92122"
"Sonoma County, California","117130","75896","97045"
"Stanislaus County, California","124157","55432","71330"
"Sutter County, California","23276","57129","76238"
"Tehama County, California","16089","49018","61542"
"Trinity County, California","3390","47349","59905"
"Tulare County, California","103015","45500","62103"
"Tuolumne County, California","14834","59152","74013"
"Ventura County, California","196812","86301","108899"
"Yolo County, California","43818","74687","94292"
"Yuba County, California","17731","50648","60669"
"Adams County, Colorado","108342","64611","75968"
"Alamosa County, Colorado","3676","49889","63892"
"Arapahoe County, Colorado","148229","73649","97469"
"Archuleta County, Colorado","3397","58222","79223"
"Baca County, Colorado","1101","48080","59213"
"Bent County, Colorado","1213","42598","55615"
"Boulder County, Colorado","70777","92667","117904"
"Broomfield County, Colorado","14691","96787","113578"
"Chaffee County, Colorado","5124","59631","71558"
"Cheyenne County, Colorado","549","63938","70818"
"Clear Creek County, Colorado","2364","89583","122997"
"Conejos County, Colorado","2220","44338","51763"
"Costilla County, Colorado","821","41551","58949"
"Crowley County, Colorado","780","41270","50430"
"Custer County, Colorado","1278","50000","63557"
"Delta County, Colorado","8432","51539","67911"
"Denver County, Colorado","128046","63705","92983"
"Dolores County, Colorado","499","51875","59766"
"Douglas County, Colorado","81035","112930","135267"
"Eagle County, Colorado","11315","86167","119125"
"Elbert County, Colorado","6369","89653","108518"
"El Paso County, Colorado","160830","70728","87294"
"Fremont County, Colorado","10994","48623","60689"
"Garfield County, Colorado","14164","66941","79407"
"Gilpin County, Colorado","1429","87639","103909"
"Grand County, Colorado","3311","74418","85953"
"Gunnison County, Colorado","3407","67047","80629"
"Hinsdale County, Colorado","254","76000","79688"
"Huerfano County, Colorado","1835","41862","62214"
"Jackson County, Colorado","390","60714","63195"
"Jefferson County, Colorado","143318","84957","103676"
"Kiowa County, Colorado","386","55938","68343"
"Kit Carson County, Colorado","2038","57538","63459"
"Lake County, Colorado","1714","57267","65190"
"La Plata County, Colorado","13083","67732","85423"
"Larimer County, Colorado","76873","76194","92738"
"Las Animas County, Colorado","3931","53089","62711"
"Lincoln County, Colorado","1162","51875","68253"
"Logan County, Colorado","5142","50000","65790"
"Mesa County, Colorado","39244","60534","77248"
"Mineral County, Colorado","236","68438","108631"
"Moffat County, Colorado","3323","68822","72710"
"Montezuma County, Colorado","7221","49245","63035"
"Montrose County, Colorado","11391","55848","65074"
"Morgan County, Colorado","7531","50202","61738"
"Otero County, Colorado","4833","41943","54340"
"Ouray County, Colorado","1313","72229","87093"
"Park County, Colorado","4732","76104","84222"
"Phillips County, Colorado","1162","54583","62110"
"Pitkin County, Colorado","3933","93981","153028"
"Prowers County, Colorado","3279","44481","57481"
"Pueblo County, Colorado","40011","52705","64083"
"Rio Blanco County, Colorado","1757","75978","86538"
"Rio Grande County, Colorado","3147","45347","59373"
"Routt County, Colorado","6117","74559","96659"
"Saguache County, Colorado","1594","41154","56234"
"San Juan County, Colorado","147","53194","59840"
"San Miguel County, Colorado","1702","77708","117982"
"Sedgwick County, Colorado","612","53500","61491"
"Summit County, Colorado","6300","79420","97549"
"Teller County, Colorado","6628","73379","86298"
"Washington County, Colorado","1408","55606","69540"
"Weld County, Colorado","64965","66840","79757"
"Yuma County, Colorado","2331","53502","68052"
"Fairfield County, Connecticut","230308","104250","159792"
"Hartford County, Connecticut","227127","81805","104293"
"Litchfield County, Connecticut","51016","87945","109161"
