"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Motley","Motley County, Texas",258,40000,56435
"Nacogdoches","Nacogdoches County, Texas",14764,50952,65697
"Navarro","Navarro County, Texas",12600,47493,61715
"Newton","Newton County, Texas",3312,46690,63269
"Nolan","Nolan County, Texas",3627,46282,59007
"Nueces","Nueces County, Texas",84160,54483,70809
"Ochiltree","Ochiltree County, Texas",2885,60121,74593
"Oldham","Oldham County, Texas",490,62500,79844
"Orange","Orange County, Texas",22027,59926,73757
"Palo Pinto","Palo Pinto County, Texas",7185,51399,70206
"Panola","Panola County, Texas",6380,61317,78764
"Parker","Parker County, Texas",31696,78626,95123
"Parmer","Parmer County, Texas",2481,47096,59762
"Pecos","Pecos County, Texas",3157,58525,70191
"Polk","Polk County, Texas",12076,45690,57829
"Potter","Potter County, Texas",27762,46243,62528
"Presidio","Presidio County, Texas",1811,36559,47063
"Rains","Rains County, Texas",3012,55233,61116
"Randall","Randall County, Texas",32890,73144,87204
"Reagan","Reagan County, Texas",922,65600,72880
"Real","Real County, Texas",860,38438,45655
"Red River","Red River County, Texas",3316,42371,50990
"Reeves","Reeves County, Texas",2493,44980,54853
"Refugio","Refugio County, Texas",2044,48963,66631
"Roberts","Roberts County, Texas",302,83333,105929
"Robertson","Robertson County, Texas",4145,48008,64886
"Rockwall","Rockwall County, Texas",21825,92837,110221
"Runnels","Runnels County, Texas",2895,45546,58349
"Rusk","Rusk County, Texas",12534,55414,69546
"Sabine","Sabine County, Texas",2622,37827,50681
"San Augustine","San Augustine County, Texas",2059,41014,51081
"San Jacinto","San Jacinto County, Texas",7356,53569,75323
"San Patricio","San Patricio County, Texas",16875,56069,68926
"San Saba","San Saba County, Texas",1364,45678,54531
"Schleicher","Schleicher County, Texas",814,70556,80654
"Scurry","Scurry County, Texas",4368,56620,76760
"Shackelford","Shackelford County, Texas",986,56875,70830
"Shelby","Shelby County, Texas",6783,44129,63123
"Sherman","Sherman County, Texas",719,58977,73444
"Smith","Smith County, Texas",53727,60259,80990
"Somervell","Somervell County, Texas",2301,70625,85413
"Starr","Starr County, Texas",13430,27552,42716
"Stephens","Stephens County, Texas",2499,50128,61048
"Sterling","Sterling County, Texas",370,58214,66028
"Stonewall","Stonewall County, Texas",368,54167,66174
"Sutton","Sutton County, Texas",1090,60395,74206
"Swisher","Swisher County, Texas",1825,45110,60032
"Tarrant","Tarrant County, Texas",457384,67436,88597
"Taylor","Taylor County, Texas",32228,56565,70823
"Terrell","Terrell County, Texas",231,68750,73125
"Terry","Terry County, Texas",2726,45765,74924
"Throckmorton","Throckmorton County, Texas",488,42368,58626
"Titus","Titus County, Texas",7981,50325,63452
"Tom Green","Tom Green County, Texas",28040,57722,70824
"Travis","Travis County, Texas",237213,73951,102473
"Trinity","Trinity County, Texas",3385,44343,54581
"Tyler","Tyler County, Texas",5737,45162,57546
"Upshur","Upshur County, Texas",10398,58447,69851
"Upton","Upton County, Texas",904,57391,65768
"Uvalde","Uvalde County, Texas",6237,41173,57792
"Val Verde","Val Verde County, Texas",11599,45452,58750
"Van Zandt","Van Zandt County, Texas",13329,51707,64056
"Victoria","Victoria County, Texas",23053,56062,72700
"Walker","Walker County, Texas",12188,55377,68936
"Waller","Waller County, Texas",9834,59684,75058
"Ward","Ward County, Texas",2637,52953,66784
"Washington","Washington County, Texas",8572,55675,68724
"Webb","Webb County, Texas",55835,41410,54837
"Wharton","Wharton County, Texas",9790,51702,63677
"Wheeler","Wheeler County, Texas",1606,63000,81644
"Wichita","Wichita County, Texas",31500,55604,70925
"Wilbarger","Wilbarger County, Texas",3383,45604,59356
"Willacy","Willacy County, Texas",4395,31592,40525
"Williamson","Williamson County, Texas",113285,82568,95612
"Wilson","Wilson County, Texas",12217,71234,83107
"Winkler","Winkler County, Texas",1875,55668,71821
"Wise","Wise County, Texas",15937,63661,78541
"Wood","Wood County, Texas",11096,52446,66925
"Yoakum","Yoakum County, Texas",2143,55545,68259
"Young","Young County, Texas",5043,58875,75803
"Zapata","Zapata County, Texas",3725,37267,52399
"Zavala","Zavala County, Texas",2645,32930,44173
